Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
American,chocolate sandwich ,Chocolate sandwich ,Sweet,Hot,1,7.0,3.6578947368421053,4.0,3.4444444444444446
Indian,masala puri,Masala puri,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,north indian thali ,North Indian thali ,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chicken biryani,Chicken biryani,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chole bature,Chole Bature,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,biryani,Biryani,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chaat ,Chaat ,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Italian,spaghetti,Spaghetti,Spicy,Hot,3,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,biriyani,Biriyani,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
American,sambar rice ,Sambar rice ,Spicy,Hot,5,2.0,3.6578947368421053,4.0,3.4444444444444446
Indian,tomato chutney with dosa,Tomato chutney with dosa,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,idly sambar,idly sambar,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,biriyani,Biriyani,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Chinese,bat,Bat,Salty,Cold,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Italian,pasta,Pasta,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chicken chettinad ,Chicken Chettinad ,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,palak paneer,Palak Paneer,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Italian,lasagna,Lasagna,Salty,Hot,4,5.930232558139535,6.0,4.0,3.4444444444444446
Chinese,hakka noodles,Hakka Noodles,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Chinese,peking duck,Peking Duck,Spicy,Hot,3,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
American,burger,Burger,Spicy,Hot,3,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Korean,kimchi,Kimchi,Sour,Cold,3,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,karela ka bharta,Karela ka Bharta,Bitter,Cold,3,5.930232558139535,3.6578947368421053,4.0,5.0
Italian,ravioli,Ravioli,Salty,Hot,3,5.930232558139535,4.0,4.0,3.4444444444444446
Chinese,cockroach manchurian,Cockroach Manchurian,Salty,Hot,4,5.930232558139535,4.0,4.0,3.4444444444444446
